SMILES,PC ,Nitrogen density (g/cm3),OB,Nm,HB amount,strongest HB length,strongest HB strength,gasous N2,gasous H2O,gasous CO2, solid C,gasous NH3,gasous O2,Type1,Length1 ,Strength 1,Qmax,D,pC-J,LE
NC(N)=C(N(=O)=O)N(=O)=O,78.8,0.73,-21.6,8,94.2,1.87,13.81,33.33,33.33,16.67,16.67,0,0,N-C,1.43,121.69,956.21,8.24,31.83,33.97
O=N(=O)N(CC(N(=O)=O)(N(=O)=O)N(=O)=O)CC(N(=O)=O)(N(=O)=O)N(=O)=O,74.9,0.57,16.5,4,64.2,2.13,4.54,33.33,16.67,33.33,0,0,16.67,C-C,1.53,85.66,1061.8,8.59,35.08,18.83
Nc1c(c(N)c(c(N)c1N(=O)=O)N(=O)=O)N(=O)=O,78.2,0.64,-55.8,2,110.1,2.31,4.29,25,25,12.5,37.5,0,0,N-C,1.43,124.08,889.4,7.68,28.17,30.17
CN(=O)=O,69.5,0.34,-39.3,4,61.8,2.27,3.35,16.67,50,8.33,25,0,0,N-C ,1.5,90.05,1276.3,7.46,22.28,14.97
NC(N)=C(N(=O)=O)N(=O)=O,80,0.74,-21.6,4,90.2,2.03,8.3,33.33,33.33,16.67,16.67,0,0,N-C,1.43,120.02,951.9,8.32,32.8,34.55
NC(N)=C(N(=O)=O)N(=O)=O,74.3,0.72,-21.6,4,88.1,1.92,12.18,33.33,33.33,16.67,16.67,0,0,N-C,1.43,119.08,949.02,8.18,31.32,35.01
O=N(=O)OCCN(CCON(=O)=O)N(=O)=O,73.8,0.4,-26.7,4,162.8,2.26,2.18,20,40,20,20,0,0,O-C,1.49,68.74,1346.8,8.26,30.1,28.14
O=C(NCC(N(=O)=O)(N(=O)=O)N(=O)=O)NCC(N(=O)=O)(N(=O)=O)N(=O)=O,74.8,0.54,0,2,139.2,2.35,2.06,33.33,25,41.67,0,0,0,C-C ,1.52,82.79,1359.6,8.84,36.14,28.8
CC(CN(CC(C)(N(=O)=O)N(=O)=O)N(=O)=O)(N(=O)=O)N(=O)=O,74,0.45,-34.3,2,181.5,2.27,4.23,21.43,35.71,17.86,25,0,0,C-C ,1.51,83.47,1341.4,8.18,29.71,32.31
O=N(=O)OCC(CON(=O)=O)(CON(=O)=O)CON(=O)=O,77.6,0.33,-10.1,2,161.7,2.25,2.38,18.18,36.36,36.36,9.09,0,0,O-C,1.47,72.23,1455.1,8.91,36.67,29.85
