number,name,symbol,name_symbol,appearance,atomic_number,group_block,period,element_category,atomic_weight,electron_configuration,per_shell,color,phase,melting_point,,boiling_point,density_at_stp,when_liquid_at_mp,when_liquid_at_bp,triple_point,critical_point,ionization_energies,covalent_radius,van_der_waals_radius
1,Hydrogen,H,"hydrogen, H",colorless gas,1,"group 1, s-block",1,diatomic nonmetal,1.008,1s1,1,colorless,gas,13.99,7.47,20.271,0.08988,0.07,0.07099,13.8033,32.938,1st: 1312.0 kJ/mol,31±5 pm,120
2,Helium,He,"helium, He","colorless gas, exhibiting a red-orange glow when placed in a high-voltage electric field",2,"group 18 (noble gases), s-block",1,noble gas,4.0026022,1s2,2,,gas,0.95,,4.222,0.1786,0.145,0.125,2.177,5.1953,"1st: 2372.3 kJ/mol, 2nd: 5250.5 kJ/mol",28,140
3,Lithium,Li,"lithium, Li",silvery-white,3,"group 1 (alkali metals), s-block",2,alkali metal,6.94,[He] 2s1,2,,solid,453.65,651.1714286,1603,,0.512,,,3220,"1st: 520.2 kJ/mol, 2nd: 7298.1 kJ/mol, 3rd: 11815.0 kJ/mol",128±7 pm,182
4,Beryllium,Be,"beryllium, Be",white-gray metallic,4,"group 2 (alkaline earth metals), s-block",2,alkaline earth metal,9.01218315,[He] 2s2,2,,solid,1560,,2742,,1.69,,,5205,"1st: 899.5 kJ/mol, 2nd: 1757.1 kJ/mol, 3rd: 14,848.7 kJ/mol, (more)",96±3 pm,153
5,Boron,B,"boron, B",black-brown,5,"group 13, p-block",2,metalloid,10.81,[He] 2s2 2p1,2,,solid,2349,,4200,,,,,,"1st: 800.6 kJ/mol, 2nd: 2427.1 kJ/mol, 3rd: 3659.7 kJ/mol, (more)",84±3 pm,192
6,Carbon,C,"carbon, C","graphite: black, diamond: clear",6,"group 14 (carbon group), p-block",2,"polyatomic nonmetal, sometimes considered a metalloid",12.011,[He] 2s2 2p2,2,,solid,,,,,,,4600,,"1st: 1086.5 kJ/mol, 2nd: 2352.6 kJ/mol, 3rd: 4620.5 kJ/mol, (more)","sp3: 77 pm, sp2: 73 pm, sp: 69 pm",170
7,Nitrogen,N,"nitrogen, N","colorless gas, liquid or solid",7,"group 15 (pnictogens), p-block",2,diatomic nonmetal,14.007,[He] 2s2 2p3,2,,gas,63.15,,77.355,1.251,,0.808,63.151,126.192,,71±1 pm,155
8,Oxygen,O,"oxygen, O","gas: colorless, liquid: pale blue",8,"group 16 (chalcogens), p-block",2,diatomic nonmetal,15.999,[He] 2s2 2p4,2,,gas,54.36,,90.188,1.429,,1.141,54.361,154.581,"1st: 1313.9 kJ/mol, 2nd: 3388.3 kJ/mol, 3rd: 5300.5 kJ/mol, (more)",66±2 pm,152
9,Fluorine,F,"fluorine, F","gas: very pale yellow
liquid: bright yellow
solid: alpha is opaque, beta is transparent",9,"group 17 (halogens), p-block",2,diatomic nonmetal,18.99840316,[He] 2s2 2p5,2,,gas,53.48,,85.03,1.696,,1.505,53.48,144.41,"1st: 1681 kJ/mol, 2nd: 3374 kJ/mol, 3rd: 6147 kJ/mol, (more)",64,135
10,Neon,Ne,"neon, Ne",colorless gas exhibiting an orange-red glow when placed in a high voltage electric field,10,"group 18 (noble gases), p-block",2,noble gas,20.17976,[He] 2s2 2p6,2,,gas,24.56,,27.104,0.9002,,1.207,24.556,44.4918,"1st: 2080.7 kJ/mol, 2nd: 3952.3 kJ/mol, 3rd: 6122 kJ/mol, (more)",58,154
11,Sodium,Na,"sodium, Na",silvery white metallic,11,"group 1 (alkali metals), s-block",3,alkali metal,22.98976928,[Ne] 3s1,2,,solid,370.944,651.1691429,1156.09,,0.927,,,2573,"1st: 495.8 kJ/mol, 2nd: 4562 kJ/mol, 3rd: 6910.3 kJ/mol, (more)",166±9 pm,227
12,Magnesium,Mg,"magnesium, Mg",shiny grey solid,12,"group 2 (alkaline earth metals), s-block",3,alkaline earth metal,24.305,[Ne] 3s2,2,,solid,923,,1363,,1.584,,,,"1st: 737.7 kJ/mol, 2nd: 1450.7 kJ/mol, 3rd: 7732.7 kJ/mol, (more)",141±7 pm,173
13,Aluminum,Al,"aluminium, Al",silvery gray metallic,13,"group 13, p-block",3,"post-transition metal, sometimes considered a metalloid",26.98153857,[Ne] 3s2 3p1,2,,solid,933.47,,2743,,2.375,,,,"1st: 577.5 kJ/mol, 2nd: 1816.7 kJ/mol, 3rd: 2744.8 kJ/mol, (more)",121±4 pm,184
14,Silicon,Si,"silicon, Si","crystalline, reflective with bluish-tinged faces",14,"group 14 (carbon group), p-block",3,metalloid,28.085,[Ne] 3s2 3p2,2,,solid,1687,,3538,,2.57,,,,"1st: 786.5 kJ/mol, 2nd: 1577.1 kJ/mol, 3rd: 3231.6 kJ/mol, (more)",111,210
15,Phosphorus,P,"phosphorus, P","colourless, waxy white, yellow, scarlet, red, violet, black",15,"group 15 (pnictogens), p-block",3,polyatomic nonmetal,30.973762,[Ne] 3s2 3p3,2,,solid,,,,,,,,,,107±3 pm,180
16,Sulfur,S,"sulfur, S",lemon yellow sintered microcrystals,16,"group 16 (chalcogens), p-block",3,polyatomic nonmetal,32.06,[Ne] 3s2 3p4,2,,solid,388.36,,717.8,,1.819,,,1314,"1st: 999.6 kJ/mol, 2nd: 2252 kJ/mol, 3rd: 3357 kJ/mol, (more)",105±3 pm,180
17,Chlorine,Cl,"chlorine, Cl",pale yellow-green gas,17,"group 17 (halogens), p-block",3,diatomic nonmetal,35.45,[Ne] 3s2 3p5,2,,gas,171.6,,239.11,3.2,,1.5625,,416.9,,102±4 pm,175
18,Argon,Ar,"argon, Ar",colorless gas exhibiting a lilac/violet glow when placed in a high voltage electric field,18,"group 18 (noble gases), p-block",3,noble gas,39.9481,[Ne] 3s2 3p6,2,,gas,83.81,,87.302,1.784,,1.3954,83.8058,150.687,"1st: 1520.6 kJ/mol, 2nd: 2665.8 kJ/mol, 3rd: 3931 kJ/mol, (more)",106±10 pm,188
19,Potassium,K,"potassium, K",silvery gray,19,"group 1 (alkali metals), s-block",4,alkali metal,39.09831,[Ar] 4s1,2,,solid,336.7,,1032,,0.828,,,2223,"1st: 418.8 kJ/mol, 2nd: 3052 kJ/mol, 3rd: 4420 kJ/mol, (more)",203±12 pm,275
